id,fromLng,fromLat,id2,toLng,toLat,number,distance
1762,-69.668899536133,18.42970085144,3566,-95.27890015,29.64539909,1,1786
1762,-69.668899536133,18.42970085144,3830,-87.9048,41.9786,1,1948
1762,-69.668899536133,18.42970085144,3877,-115.1520004,36.08010101,1,3014
1762,-69.668899536133,18.42970085144,4029,37.90629959106445,55.40879821777344,1,5831
1885,-84.20880126953125,9.993860244750977,3576,-80.29060363769531,25.79319953918457,1,1120
2188,55.3643989563,25.2527999878,2997,72.8678970337,19.0886993408,1,1196
2188,55.3643989563,25.2527999878,3024,79.88410186767578,7.180759906768799,2,2042
2188,55.3643989563,25.2527999878,3316,103.994003,1.35019,1,3630
2188,55.3643989563,25.2527999878,3339,144.843002,-37.673302,1,7231
2188,55.3643989563,25.2527999878,3341,138.531006,-34.945,1,6835
2188,55.3643989563,25.2527999878,3351,115.96700286865234,-31.94029998779297,1,5614
2188,55.3643989563,25.2527999878,4029,37.90629959106445,55.40879821777344,1,2263
2241,51.565102,25.261101,3144,80.16929626464844,12.990005493164062,1,2043
2241,51.565102,25.261101,3156,73.52909851074219,4.191830158233643,1,2058
2359,139.779999,35.552299,3304,101.70999908447,2.745579957962,1,3324
2372,128.93800354,35.1795005798,2378,126.791,37.5583,1,203
2397,121.019997,14.5086,3077,113.915001,22.308901,1,711
2562,-49.220699310302734,-16.631999969482422,2578,-47.1344985962,-23.0074005127,1,460
2564,-46.47305679321289,-23.435556411743164,2650,-70.78579711914062,-33.393001556396484,1,1624
2564,-46.47305679321289,-23.435556411743164,2816,-56.0308,-34.838402,1,975
2572,-47.459999,-5.53129,7376,-48.240501,-7.22787,1,128
2641,-70.338699,-18.348499,2650,-70.78579711914062,-33.393001556396484,1,1039
2647,-70.854599,-53.002602,2650,-70.78579711914062,-33.393001556396484,1,1354
2647,-70.854599,-53.002602,2665,-73.09400177001953,-41.438899993896484,1,805
2650,-70.78579711914062,-33.393001556396484,3988,-58.5358,-34.8222,1,706
2912,74.4776000977,43.0612983704,2985,37.4146,55.972599,1,1855
2948,30.262500762939453,59.80030059814453,2985,37.4146,55.972599,2,372
2960,39.170501708984,45.034698486328,2985,37.4146,55.972599,1,759
2960,39.170501708984,45.034698486328,2988,37.2615013123,55.5914993286,1,733
2975,60.802700042725,56.743099212646,2985,37.4146,55.972599,1,892
2985,37.4146,55.972599,4374,92.493301,56.172901,1,2064
2990,49.278701782227,55.606201171875,2993,50.16429901123,53.504901885986,1,149
2990,49.278701782227,55.606201171875,4029,37.90629959106445,55.40879821777344,1,444
3023,73.89610290530001,24.617700576799997,3136,76.401901,10.152,1,1012
3024,79.88410186767578,7.180759906768799,3304,101.70999908447,2.745579957962,1,1532
3035,103.81300354,13.410699844400002,3157,100.607002258,13.9125995636,1,218
3077,113.915001,22.308901,3144,80.16929626464844,12.990005493164062,1,2306
3077,113.915001,22.308901,3199,105.80699920654297,21.221200942993164,1,525
3077,113.915001,22.308901,3361,151.177001953125,-33.94609832763672,1,4591
3077,113.915001,22.308901,3797,-73.77890015,40.63980103,1,8054
3269,116.0510025024414,5.9372100830078125,3316,103.994003,1.35019,1,888
3269,116.0510025024414,5.9372100830078125,3930,126.45099639892578,37.46910095214844,1,2274
3304,101.70999908447,2.745579957962,3308,100.2770004272461,5.297140121459961,1,201
3316,103.994003,1.35019,3339,144.843002,-37.673302,1,3748
3316,103.994003,1.35019,3885,100.74700164794922,13.681099891662598,1,879
3316,103.994003,1.35019,3940,115.16699981689,-8.7481698989868,3,1038
